volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
0.0,1612915200.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-09 18:00:00,BTC-25JUN21-44000-C
0.0,1613001600.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-10 18:00:00,BTC-25JUN21-44000-C
0.0,1613088000.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-11 18:00:00,BTC-25JUN21-44000-C
0.0,1613174400.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-12 18:00:00,BTC-25JUN21-44000-C
0.0,1613260800.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-13 18:00:00,BTC-25JUN21-44000-C
0.0,1613347200.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-14 18:00:00,BTC-25JUN21-44000-C
0.0,1613433600.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-15 18:00:00,BTC-25JUN21-44000-C
0.0,1613520000.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-16 18:00:00,BTC-25JUN21-44000-C
100.1,1613606400.0,ok,0.2285,0.139,0.43,13.95195,0.43,2021-02-17 18:00:00,BTC-25JUN21-44000-C
0.0,1613692800.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-18 18:00:00,BTC-25JUN21-44000-C
0.0,1613779200.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-19 18:00:00,BTC-25JUN21-44000-C
0.0,1613865600.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-20 18:00:00,BTC-25JUN21-44000-C
0.0,1613952000.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-21 18:00:00,BTC-25JUN21-44000-C
0.0,1614038400.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-22 18:00:00,BTC-25JUN21-44000-C
0.0,1614124800.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-23 18:00:00,BTC-25JUN21-44000-C
0.0,1614211200.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-24 18:00:00,BTC-25JUN21-44000-C
0.0,1614297600.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-25 18:00:00,BTC-25JUN21-44000-C
0.0,1614384000.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-26 18:00:00,BTC-25JUN21-44000-C
0.0,1614470400.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-27 18:00:00,BTC-25JUN21-44000-C
0.0,1614556800.0,ok,0.43,0.43,0.43,0.0,0.43,2021-02-28 18:00:00,BTC-25JUN21-44000-C
0.0,1614643200.0,ok,0.43,0.43,0.43,0.0,0.43,2021-03-01 18:00:00,BTC-25JUN21-44000-C
0.0,1614729600.0,ok,0.43,0.43,0.43,0.0,0.43,2021-03-02 18:00:00,BTC-25JUN21-44000-C
0.0,1614816000.0,ok,0.43,0.43,0.43,0.0,0.43,2021-03-03 18:00:00,BTC-25JUN21-44000-C
0.1,1614902400.0,ok,0.1105,0.1105,0.1105,0.01105,0.1105,2021-03-04 18:00:00,BTC-25JUN21-44000-C
