volume,ticks,status,open,low,high,cost,close,timestamp,Instrument,Type
0,1617494400,ok,0.0635,0.0635,0.0635,0,0.0635,4/3/2021 19:00,BTC-25JUN21-44000-P,P
0,1617580800,ok,0.0635,0.0635,0.0635,0,0.0635,4/4/2021 19:00,BTC-25JUN21-44000-P,P
5.8,1617667200,ok,0.0795,0.045,0.0795,0.341,0.052,4/5/2021 19:00,BTC-25JUN21-44000-P,P
77.8,1617753600,ok,0.051,0.0435,0.0845,6.0782,0.0625,4/6/2021 19:00,BTC-25JUN21-44000-P,P
0,1617840000,ok,0.0625,0.0625,0.0625,0,0.0625,4/7/2021 19:00,BTC-25JUN21-44000-P,P
4.8,1617926400,ok,0.0275,0.0275,0.0385,0.1482,0.0305,4/8/2021 19:00,BTC-25JUN21-44000-P,P
0,1618012800,ok,0.0305,0.0305,0.0305,0,0.0305,4/9/2021 19:00,BTC-25JUN21-44000-P,P
0,1618099200,ok,0.0305,0.0305,0.0305,0,0.0305,4/10/2021 19:00,BTC-25JUN21-44000-P,P
20.4,1618185600,ok,0.035,0.035,0.0515,0.7818,0.0515,4/11/2021 19:00,BTC-25JUN21-44000-P,P
42,1618272000,ok,0.0135,0.0135,0.018,0.6678,0.018,4/12/2021 19:00,BTC-25JUN21-44000-P,P
82.8,1618358400,ok,0.0315,0.006,0.0315,1.5792,0.006,4/13/2021 19:00,BTC-25JUN21-44000-P,P
34,1618444800,ok,0.027,0.022,0.0485,1.3276,0.034,4/14/2021 19:00,BTC-25JUN21-44000-P,P
0,1618531200,ok,0.034,0.034,0.034,0,0.034,4/15/2021 19:00,BTC-25JUN21-44000-P,P
0,1618617600,ok,0.034,0.034,0.034,0,0.034,4/16/2021 19:00,BTC-25JUN21-44000-P,P
0,1618704000,ok,0.034,0.034,0.034,0,0.034,4/17/2021 19:00,BTC-25JUN21-44000-P,P
0,1618790400,ok,0.034,0.034,0.034,0,0.034,4/18/2021 19:00,BTC-25JUN21-44000-P,P
266.2,1618876800,ok,0.04,0.04,0.107,14.3298,0.04,4/19/2021 19:00,BTC-25JUN21-44000-P,P
0,1618963200,ok,0.04,0.04,0.04,0,0.04,4/20/2021 19:00,BTC-25JUN21-44000-P,P
0,1619049600,ok,0.04,0.04,0.04,0,0.04,4/21/2021 19:00,BTC-25JUN21-44000-P,P
0,1619136000,ok,0.04,0.04,0.04,0,0.04,4/22/2021 19:00,BTC-25JUN21-44000-P,P
0,1619222400,ok,0.04,0.04,0.04,0,0.04,4/23/2021 19:00,BTC-25JUN21-44000-P,P
0,1619308800,ok,0.04,0.04,0.04,0,0.04,4/24/2021 19:00,BTC-25JUN21-44000-P,P
0,1619395200,ok,0.04,0.04,0.04,0,0.04,4/25/2021 19:00,BTC-25JUN21-44000-P,P
0,1619481600,ok,0.04,0.04,0.04,0,0.04,4/26/2021 19:00,BTC-25JUN21-44000-P,P
32.5,1619568000,ok,0.028,0.028,0.072,1.7284,0.0435,4/27/2021 19:00,BTC-25JUN21-44000-P,P
0.3,1619654400,ok,0.0795,0.0795,0.0795,0.02385,0.0795,4/28/2021 19:00,BTC-25JUN21-44000-P,P
